,COU,Country,SOURCE,Source,SERIES,Series,TIME,Year,Unit Code_union,Unit_union,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value_union,Flag Codes,Flags,Unnamed: 0,MEASURE,Age group,Unit Code_gini_cpi,Unit_gini_cpi,Value_gini_cpi
0,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,7950,GINI,Total population,0_TO_1,0-1 scale,0.279
1,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,7960,GINI,Total population,0_TO_1,0-1 scale,0.29
2,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,7967,CPI2010,Total population,IDX,Index,109.8042007
3,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,7977,CPI2010,Total population,IDX,Index,109.8042007
4,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,29558,GINI,Working age population: 18-65,0_TO_1,0-1 scale,0.287
5,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,29568,GINI,Working age population: 18-65,0_TO_1,0-1 scale,0.293
6,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,29575,CPI2010,Working age population: 18-65,IDX,Index,109.8042007
7,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,29585,CPI2010,Working age population: 18-65,IDX,Index,109.8042007
8,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,42682,GINI,Retirement age population: above 65,0_TO_1,0-1 scale,0.214
9,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,42692,GINI,Retirement age population: above 65,0_TO_1,0-1 scale,0.222
10,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,42699,CPI2010,Retirement age population: above 65,IDX,Index,109.8042007
11,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,42709,CPI2010,Retirement age population: above 65,IDX,Index,109.8042007
12,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,61553,CPI2015,Total population,IDX,Index,98.5813
13,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,61805,CPI2015,Working age population: 18-65,IDX,Index,98.5813
14,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,62049,CPI2015,Retirement age population: above 65,IDX,Index,98.5813
15,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,62876,CPI2015,Working age population: 18-65,IDX,Index,98.5813
16,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,63025,CPI2015,Retirement age population: above 65,IDX,Index,98.5813
17,HUN,Hungary,ADM,Administrative data,EEM,Employees,2012,2012,NBR,Number,3,Thousands,,,3378.0,,,63333,CPI2015,Total population,IDX,Index,98.5813
18,HUN,Hungary,ADM,Administrative data,TUM,Union members,2012,2012,NBR,Number,3,Thousands,,,400.0,,,7950,GINI,Total population,0_TO_1,0-1 scale,0.279
19,HUN,Hungary,ADM,Administrative data,TUM,Union members,2012,2012,NBR,Number,3,Thousands,,,400.0,,,7960,GINI,Total population,0_TO_1,0-1 scale,0.29
20,HUN,Hungary,ADM,Administrative data,TUM,Union members,2012,2012,NBR,Number,3,Thousands,,,400.0,,,7967,CPI2010,Total population,IDX,Index,109.8042007
21,HUN,Hungary,ADM,Administrative data,TUM,Union members,2012,2012,NBR,Number,3,Thousands,,,400.0,,,7977,CPI2010,Total population,IDX,Index,109.8042007
22,HUN,Hungary,ADM,Administrative data,TUM,Union members,2012,2012,NBR,Number,3,Thousands,,,400.0,,,29558,GINI,Working age population: 18-65,0_TO_1,0-1 scale,0.287
23,HUN,Hungary,ADM,Administrative data,TUM,Union members,2012,2012,NBR,Number,3,Thousands,,,400.0,,,29568,GINI,Working age population: 18-65,0_TO_1,0-1 scale,0.293
24,HUN,Hungary,ADM,Administrative data,TUM,Union members,2012,2012,NBR,Number,3,Thousands,,,400.0,,,29575,CPI2010,Working age population: 18-65,IDX,Index,109.8042007
25,HUN,Hungary,ADM,Administrative data,TUM,Union members,2012,2012,NBR,Number,3,Thousands,,,400.0,,,29585,CPI2010,Working age population: 18-65,IDX,Index,109.8042007
26,HUN,Hungary,ADM,Administrative data,TUM,Union members,2012,2012,NBR,Number,3,Thousands,,,400.0,,,42682,GINI,Retirement age population: above 65,0_TO_1,0-1 scale,0.214
27,HUN,Hungary,ADM,Administrative data,TUM,Union members,2012,2012,NBR,Number,3,Thousands,,,400.0,,,42692,GINI,Retirement age population: above 65,0_TO_1,0-1 scale,0.222
28,HUN,Hungary,ADM,Administrative data,TUM,Union members,2012,2012,NBR,Number,3,Thousands,,,400.0,,,42699,CPI2010,Retirement age population: above 65,IDX,Index,109.8042007
