,Country,MEASURE,Age group,Year,Unit Code,Unit,Value
0,Australia,GINI,Total population,2012,0_TO_1,0-1 scale,0.326
1,Australia,GINI,Total population,2014,0_TO_1,0-1 scale,0.337
2,Australia,GINI,Total population,2016,0_TO_1,0-1 scale,0.33
3,Australia,GINI,Total population,2018,0_TO_1,0-1 scale,0.325
6,Australia,GINI,Total population,2010,0_TO_1,0-1 scale,0.33399999999999996
7,Australia,GINI,Total population,2012,0_TO_1,0-1 scale,0.324
8,Australia,CPI2010,Total population,2012,IDX,Index,105.12487050000001
9,Australia,CPI2010,Total population,2014,IDX,Index,110.37981380000001
10,Australia,CPI2010,Total population,2016,IDX,Index,113.475554
11,Australia,CPI2010,Total population,2018,IDX,Index,117.898072
14,Australia,CPI2010,Total population,2010,IDX,Index,100.0
15,Australia,CPI2010,Total population,2012,IDX,Index,105.12487050000001
390,Austria,GINI,Total population,2009,0_TO_1,0-1 scale,0.289
391,Austria,GINI,Total population,2010,0_TO_1,0-1 scale,0.28
392,Austria,GINI,Total population,2011,0_TO_1,0-1 scale,0.281
393,Austria,GINI,Total population,2012,0_TO_1,0-1 scale,0.276
394,Austria,GINI,Total population,2013,0_TO_1,0-1 scale,0.28
395,Austria,GINI,Total population,2014,0_TO_1,0-1 scale,0.27399999999999997
396,Austria,GINI,Total population,2015,0_TO_1,0-1 scale,0.275
397,Austria,GINI,Total population,2016,0_TO_1,0-1 scale,0.284
398,Austria,GINI,Total population,2017,0_TO_1,0-1 scale,0.275
399,Austria,GINI,Total population,2018,0_TO_1,0-1 scale,0.28
402,Austria,CPI2010,Total population,2009,IDX,Index,98.21877059999998
403,Austria,CPI2010,Total population,2010,IDX,Index,100.0
404,Austria,CPI2010,Total population,2011,IDX,Index,103.2865905
405,Austria,CPI2010,Total population,2012,IDX,Index,105.8539533
406,Austria,CPI2010,Total population,2013,IDX,Index,107.97120520000001
407,Austria,CPI2010,Total population,2014,IDX,Index,109.70500849999999
408,Austria,CPI2010,Total population,2015,IDX,Index,110.6885496
409,Austria,CPI2010,Total population,2016,IDX,Index,111.67547749999999
410,Austria,CPI2010,Total population,2017,IDX,Index,113.99974409999999
411,Austria,CPI2010,Total population,2018,IDX,Index,116.2778574
943,Belgium,GINI,Total population,2018,0_TO_1,0-1 scale,0.258
949,Belgium,GINI,Total population,2009,0_TO_1,0-1 scale,0.26899999999999996
950,Belgium,GINI,Total population,2010,0_TO_1,0-1 scale,0.264
951,Belgium,GINI,Total population,2011,0_TO_1,0-1 scale,0.266
952,Belgium,GINI,Total population,2012,0_TO_1,0-1 scale,0.262
953,Belgium,GINI,Total population,2013,0_TO_1,0-1 scale,0.261
954,Belgium,CPI2010,Total population,2018,IDX,Index,115.4516399
960,Belgium,CPI2010,Total population,2009,IDX,Index,97.85760515
961,Belgium,CPI2010,Total population,2010,IDX,Index,100.0
962,Belgium,CPI2010,Total population,2011,IDX,Index,103.5320837
963,Belgium,CPI2010,Total population,2012,IDX,Index,106.47204860000001
964,Belgium,CPI2010,Total population,2013,IDX,Index,107.65717679999999
1474,Canada,GINI,Total population,2009,0_TO_1,0-1 scale,0.316
1475,Canada,GINI,Total population,2010,0_TO_1,0-1 scale,0.316
1476,Canada,GINI,Total population,2011,0_TO_1,0-1 scale,0.313
1477,Canada,GINI,Total population,2012,0_TO_1,0-1 scale,0.317
1478,Canada,GINI,Total population,2013,0_TO_1,0-1 scale,0.32
1479,Canada,GINI,Total population,2014,0_TO_1,0-1 scale,0.313
1480,Canada,GINI,Total population,2015,0_TO_1,0-1 scale,0.318
1481,Canada,GINI,Total population,2016,0_TO_1,0-1 scale,0.307
1482,Canada,GINI,Total population,2017,0_TO_1,0-1 scale,0.31
1483,Canada,GINI,Total population,2018,0_TO_1,0-1 scale,0.303
1489,Canada,GINI,Total population,2009,0_TO_1,0-1 scale,0.32
1490,Canada,GINI,Total population,2010,0_TO_1,0-1 scale,0.319
1491,Canada,GINI,Total population,2011,0_TO_1,0-1 scale,0.316
1497,Canada,CPI2010,Total population,2009,IDX,Index,98.25414078
1498,Canada,CPI2010,Total population,2010,IDX,Index,100.0
1499,Canada,CPI2010,Total population,2011,IDX,Index,102.9121272
1500,Canada,CPI2010,Total population,2012,IDX,Index,104.47195079999999
1501,Canada,CPI2010,Total population,2013,IDX,Index,105.45219399999999
1502,Canada,CPI2010,Total population,2014,IDX,Index,107.46278909999998
1503,Canada,CPI2010,Total population,2015,IDX,Index,108.67200420000002
1504,Canada,CPI2010,Total population,2016,IDX,Index,110.2247098
1505,Canada,CPI2010,Total population,2017,IDX,Index,111.9848702
1506,Canada,CPI2010,Total population,2018,IDX,Index,114.52486100000002
1512,Canada,CPI2010,Total population,2009,IDX,Index,98.25414078
1513,Canada,CPI2010,Total population,2010,IDX,Index,100.0
1514,Canada,CPI2010,Total population,2011,IDX,Index,102.9121272
2578,Czech Republic,GINI,Total population,2009,0_TO_1,0-1 scale,0.257
2579,Czech Republic,GINI,Total population,2010,0_TO_1,0-1 scale,0.26
2580,Czech Republic,GINI,Total population,2011,0_TO_1,0-1 scale,0.257
2581,Czech Republic,GINI,Total population,2012,0_TO_1,0-1 scale,0.254
2582,Czech Republic,GINI,Total population,2013,0_TO_1,0-1 scale,0.259
2583,Czech Republic,GINI,Total population,2014,0_TO_1,0-1 scale,0.257
2584,Czech Republic,GINI,Total population,2015,0_TO_1,0-1 scale,0.258
2585,Czech Republic,GINI,Total population,2016,0_TO_1,0-1 scale,0.253
2586,Czech Republic,GINI,Total population,2017,0_TO_1,0-1 scale,0.249
2587,Czech Republic,GINI,Total population,2018,0_TO_1,0-1 scale,0.249
2593,Czech Republic,GINI,Total population,2009,0_TO_1,0-1 scale,0.258
2594,Czech Republic,GINI,Total population,2010,0_TO_1,0-1 scale,0.258
2595,Czech Republic,GINI,Total population,2011,0_TO_1,0-1 scale,0.256
2596,Czech Republic,GINI,Total population,2012,0_TO_1,0-1 scale,0.252
2597,Czech Republic,GINI,Total population,2013,0_TO_1,0-1 scale,0.259
2603,Czech Republic,CPI2010,Total population,2009,IDX,Index,98.5486365
2604,Czech Republic,CPI2010,Total population,2010,IDX,Index,100.0
2605,Czech Republic,CPI2010,Total population,2011,IDX,Index,101.9172155
2606,Czech Republic,CPI2010,Total population,2012,IDX,Index,105.2678622
2607,Czech Republic,CPI2010,Total population,2013,IDX,Index,106.78193490000001
2608,Czech Republic,CPI2010,Total population,2014,IDX,Index,107.14924540000001
2609,Czech Republic,CPI2010,Total population,2015,IDX,Index,107.4807344
2610,Czech Republic,CPI2010,Total population,2016,IDX,Index,108.21533390000002
2611,Czech Republic,CPI2010,Total population,2017,IDX,Index,110.86722409999999
2612,Czech Republic,CPI2010,Total population,2018,IDX,Index,113.25034529999999
2618,Czech Republic,CPI2010,Total population,2009,IDX,Index,98.5486365
2619,Czech Republic,CPI2010,Total population,2010,IDX,Index,100.0
2620,Czech Republic,CPI2010,Total population,2011,IDX,Index,101.9172155
2621,Czech Republic,CPI2010,Total population,2012,IDX,Index,105.2678622
2622,Czech Republic,CPI2010,Total population,2013,IDX,Index,106.78193490000001
3758,Denmark,GINI,Total population,2011,0_TO_1,0-1 scale,0.251
3759,Denmark,GINI,Total population,2012,0_TO_1,0-1 scale,0.249
3760,Denmark,GINI,Total population,2013,0_TO_1,0-1 scale,0.254
3761,Denmark,GINI,Total population,2014,0_TO_1,0-1 scale,0.256
3762,Denmark,GINI,Total population,2015,0_TO_1,0-1 scale,0.263
3763,Denmark,GINI,Total population,2016,0_TO_1,0-1 scale,0.261
3764,Denmark,GINI,Total population,2017,0_TO_1,0-1 scale,0.264
3769,Denmark,GINI,Total population,2009,0_TO_1,0-1 scale,0.23800000000000002
3770,Denmark,GINI,Total population,2010,0_TO_1,0-1 scale,0.252
3771,Denmark,GINI,Total population,2011,0_TO_1,0-1 scale,0.253
3772,Denmark,CPI2010,Total population,2011,IDX,Index,102.7586714
3773,Denmark,CPI2010,Total population,2012,IDX,Index,105.2227478
3774,Denmark,CPI2010,Total population,2013,IDX,Index,106.0530308
3775,Denmark,CPI2010,Total population,2014,IDX,Index,106.65118799999999
3776,Denmark,CPI2010,Total population,2015,IDX,Index,107.1332878
3777,Denmark,CPI2010,Total population,2016,IDX,Index,107.40112109999998
3778,Denmark,CPI2010,Total population,2017,IDX,Index,108.63315390000001
3783,Denmark,CPI2010,Total population,2009,IDX,Index,97.74126604
3784,Denmark,CPI2010,Total population,2010,IDX,Index,100.0
3785,Denmark,CPI2010,Total population,2011,IDX,Index,102.7586714
4448,Finland,GINI,Total population,2009,0_TO_1,0-1 scale,0.259
4449,Finland,GINI,Total population,2010,0_TO_1,0-1 scale,0.264
4450,Finland,GINI,Total population,2011,0_TO_1,0-1 scale,0.264
4451,Finland,GINI,Total population,2012,0_TO_1,0-1 scale,0.26
4452,Finland,GINI,Total population,2013,0_TO_1,0-1 scale,0.262
4453,Finland,GINI,Total population,2014,0_TO_1,0-1 scale,0.257
4454,Finland,GINI,Total population,2015,0_TO_1,0-1 scale,0.26
4455,Finland,GINI,Total population,2016,0_TO_1,0-1 scale,0.259
4456,Finland,GINI,Total population,2017,0_TO_1,0-1 scale,0.266
4457,Finland,GINI,Total population,2018,0_TO_1,0-1 scale,0.26899999999999996
4463,Finland,GINI,Total population,2009,0_TO_1,0-1 scale,0.26
4464,Finland,GINI,Total population,2010,0_TO_1,0-1 scale,0.265
4465,Finland,GINI,Total population,2011,0_TO_1,0-1 scale,0.265
4466,Finland,GINI,Total population,2012,0_TO_1,0-1 scale,0.261
4472,Finland,CPI2010,Total population,2009,IDX,Index,98.82971434
4473,Finland,CPI2010,Total population,2010,IDX,Index,100.0
4474,Finland,CPI2010,Total population,2011,IDX,Index,103.4168037
4475,Finland,CPI2010,Total population,2012,IDX,Index,106.3210853
4476,Finland,CPI2010,Total population,2013,IDX,Index,107.8928243
